29
36	(	3
37	0	5
415	000	2
377	07	2
38	10	7
39	12	4
325	14	3
378	15	2
147	1950	2
148	2014	2
428	2017	2
313	2018	2
416	21	2
326	24	2
40	30	2
379	600	2
314	AI	2
327	AR	2
417	CC	2
315	CEO	4
108	MF	2
41	PK	2
328	com	2
235	うえ	3
7	さ	5
158	ただ	3
380	ひとり	2
329	アクセス	2
330	アップル	3
381	アナリスト	2
163	アピール	4
382	アマゾン	2
149	アメリカ	4
109	イメージ	3
42	エリア	2
110	オーストラリア	2
111	オープン	4
305	カナダ	2
43	ガーナ	3
236	キム	2
331	グーグル	4
44	ゲーム	2
429	コスト	2
112	コミュニケーション	2
292	コメント	3
383	コード	2
332	サイト	2
0	サッカー	2
45	サポート	2
46	システム	2
237	シンガポール	3
47	シーン	2
1	ジャパン	3
238	ジョン	2
8	スイス	5
48	スイッチ	2
113	スタート	2
49	ズレ	2
384	セット	2
114	センター	2
333	ソフトウェア	3
334	ソース	2
50	タイミング	2
150	チェコ	2
51	チーム	3
335	テック	4
270	テレビ	2
196	テーブル	2
115	テーマ	2
336	デヴァイス	2
151	データ	4
52	トップ	2
164	トランプ	8
152	ドイツ	3
385	ドル	3
53	バック	2
116	パターン	2
386	ビジネス	3
337	フェイス	4
338	ブック	4
316	ブログ	2
117	ブロック	2
387	プラットフォーム	2
54	プラン	2
55	プレー	2
388	プログラマー	2
271	ベース	2
239	ホワイトハウス	2
56	ボール	2
57	ポイント	3
389	マイクロソフト	2
165	ミサイル	5
390	メーカー	2
339	ユーザー	3
58	ランキング	2
118	リスク	3
166	ワシントン	5
119	ワールドカップ	2
240	一方	3
272	一時	2
197	一致	3
340	一般	3
341	一連	2
342	一部	2
59	不可欠	2
198	不透明	3
9	世界	6
293	世界中	2
120	世紀	2
60	中央	3
153	中心	2
273	中止	3
121	主導	3
199	主張	3
306	主要	3
343	事例	2
391	事業	2
200	交渉	5
418	人々	2
430	人工	2
159	人気	3
2	代表	7
160	以外	3
161	以来	5
344	企業	4
392	会社	2
241	会見	3
167	会談	8
307	会議	3
61	位	2
5	佑	5
62	体制	2
345	作成	2
346	使い方	2
317	使用	2
308	保護	2
393	倍	2
419	値	2
63	側	3
274	優先	2
64	全体	3
242	共同	4
65	共有	3
66	共通	2
294	兵器	2
201	具体	2
260	再生	2
162	再開	2
347	出版	2
318	分野	3
243	初	2
67	初戦	3
348	利用	4
394	利益	2
202	制裁	2
203	前のめり	2
68	前半	2
420	割合	2
69	劇的	2
204	効果	2
275	動き	3
168	包括	3
169	北朝鮮	7
70	十分	2
170	協力	8
261	協議	3
349	参照	2
205	友好	3
71	反応	3
395	反映	2
276	収集	4
396	取引	2
171	可能	6
154	史上	5
244	合意	2
10	吉田	3
319	同社	4
72	向上	2
172	問題	9
350	回答	2
351	団体	2
352	困難	2
173	国交	4
245	国務	2
206	圧力	4
